mem_list,RxDqs-,RxDqs+,RxV-,RxV+,TxDq-,TxDq+,TxV-,TxV+,Cmd-,Cmd+,CmdV-,CmdV+,ctl-,ctl+,RxDqs-,RxDqs+,RxV-,RxV+,TxDq-,TxDq+,TxV-,TxV+,Cmd-,Cmd+,CmdV-,CmdV+,ctl-,ctl+
PURLEY_DDR5-6400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PURLEY_DDR5-6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PURLEY_DDR5-5600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PURLEY_DDR5-4800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PURLEY_DDR5-4400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PURLEY_DDR5-4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PURLEY_DDR5-3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PURLEY_DDR5-3200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PURLEY_DDR4-3200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PURLEY_DDR4-2933,13,13,18,18,14,14,15,15,22,22,16,16,22,16,10,10,12,12,11,11,10,10,19,19,12,12,19,19
PURLEY_DDR4-2666,13,13,18,18,14,14,15,15,22,22,16,16,22,16,10,10,12,12,11,11,10,10,19,19,12,12,19,19
PURLEY_DDR4-2400,12,12,18,18,13,13,15,15,22,22,16,16,22,16,9,9,12,12,10,10,10,10,19,19,12,12,19,19
PURLEY_DDR4-2133,0,0,18,18,0,0,15,15,22,22,16,16,22,16,0,0,12,12,0,0,10,10,19,19,12,12,19,19
PURLEY_DDR4-1866,0,0,18,18,0,0,15,15,22,22,16,16,22,16,0,0,12,12,0,0,10,10,19,19,12,12,19,19
PURLEY_DDR4-1600,0,0,18,18,0,0,15,15,22,22,16,16,22,16,0,0,12,12,0,0,10,10,19,19,12,12,19,19
